consensus_timestamp,transaction_id,account,amount,is_approval
2023-05-16T13:45:36.388113,0.0.690356-1684259112-028425273,0.0.4,0.00177625,False
2023-05-16T13:39:51.191820,0.0.40730-1684258780-509000000,0.0.4,0.00008134,False
2023-05-16T13:31:42.222301,0.0.690356-1684258287-404950649,0.0.4,0.00177653,False
2023-05-16T13:28:39.232615,0.0.1928606-1684258112-655929119,0.0.4,0.00007702,False
2023-05-16T13:26:34.495302,0.0.690356-1684257981-840478437,0.0.4,0.00177625,False
2023-05-16T13:26:22.793616,0.0.690356-1684257963-360868304,0.0.4,0.00177639,False
2023-05-16T13:12:56.590281,0.0.950-1684257116-000000478,0.0.4,0.00007783,False
2023-05-16T12:42:10.133687,0.0.1901601-1684255318-590000000,0.0.4,0.00008036,False
2023-05-16T12:24:19.338374,0.0.305869-1684254248-087258590,0.0.4,0.00007897,False
2023-05-16T12:21:39.817574,0.0.704238-1684254086-490249446,0.0.4,0.00007836,False
2023-05-16T12:17:17.081397,0.0.1067766-1684253830-206127419,0.0.4,0.00007737,False
2023-05-16T12:09:12.911545,0.0.11417-1684253341-276713452,0.0.4,0.00007816,False
2023-05-16T12:08:47.390228,0.0.690356-1684253310-935281612,0.0.4,0.00178458,False
2023-05-16T12:05:25.482321,0.0.447411-1684253113-898000000,0.0.4,0.00008171,False
2023-05-16T12:02:47.651525,0.0.1486246-1684252954-968194932,0.0.4,0.00007819,False
2023-05-16T11:58:46.736813,0.0.1503497-1684252715-493460155,0.0.4,0.00007831,False
2023-05-16T11:16:44.761449,0.0.611791-1684250172-049000000,0.0.4,0.00008068,False
2023-05-16T11:04:51.543089,0.0.83-1684249481-691866000,0.0.4,0.00101224,False
2023-05-16T11:01:20.497344,0.0.1751831-1684249266-388957413,0.0.4,0.00007834,False
2023-05-16T10:58:32.960678,0.0.1349489-1684249100-953429536,0.0.4,0.00007828,False
2023-05-16T10:58:28.804609,0.0.285576-1684249099-003819227,0.0.4,0.00007802,False
2023-05-16T10:54:11.799550,0.0.1249721-1684248836-213985086,0.0.4,0.00007800,False
2023-05-16T10:50:03.887967,0.0.1067766-1684248597-960972838,0.0.4,0.00007721,False
2023-05-16T10:46:27.283405,0.0.1742162-1684248376-098090760,0.0.4,0.00007802,False
2023-05-16T10:42:34.922427,0.0.180409-1684248140-417496769,0.0.4,0.00007800,False
2023-05-16T10:39:35.149317,0.0.1067766-1684247969-043032635,0.0.4,0.00007728,False
2023-05-16T10:39:02.327853,0.0.1458012-1684247929-948851004,0.0.4,0.00007802,False
2023-05-16T10:11:43.295402,0.0.690356-1684246291-775244830,0.0.4,0.00178085,False
2023-05-16T10:09:11.924212,0.0.1976119-1684246124-593008368,0.0.4,0.00007800,False
2023-05-16T10:04:05.950135,0.0.690356-1684245827-695213983,0.0.4,0.00089034,False
2023-05-16T09:43:10.348729,0.0.690356-1684244566-166727216,0.0.4,0.00178680,False
2023-05-16T09:39:55.739756,0.0.1264559-1684244384-612000000,0.0.4,0.00008181,False
2023-05-16T09:36:54.082373,0.0.2321626-1684244200-861226558,0.0.4,0.00007828,False
2023-05-16T09:22:42.514909,0.0.1987670-1684243350-751027237,0.0.4,0.00007849,False
2023-05-16T09:22:32.262463,0.0.285576-1684243341-036958415,0.0.4,0.00007838,False
2023-05-16T09:20:56.142060,0.0.1134089-1684243255-210952668,0.0.4,0.00007838,False
2023-05-16T09:19:46.466645,0.0.906644-1684243174-186387149,0.0.4,0.00007886,False
2023-05-16T09:16:17.678284,0.0.611791-1684242955-983000000,0.0.4,0.00008086,False
2023-05-16T09:14:39.903538,0.0.595395-1684242874-295139801,0.0.4,0.00007747,False
2023-05-16T09:10:31.920452,0.0.690356-1684242610-386704042,0.0.4,0.00178680,False
2023-05-16T09:01:55.338631,0.0.1155594-1684242114-357957871,0.0.4,0.00007842,False
2023-05-16T09:01:29.141619,0.0.595395-1684242083-401546146,0.0.4,0.00007747,False
2023-05-16T08:58:21.750903,0.0.1128519-1684241887-759993961,0.0.4,0.00007840,False
2023-05-16T08:52:50.359305,0.0.1067766-1684241564-188815707,0.0.4,0.00007761,False
